latitude,longitude
13.2034853,108.3263044
21.1453412,106.0410421
10.9197064,106.7125829
21.1484355,105.5490935
21.2028564,107.335601
14.9457779,107.9991842
16.4163562,107.8190678
10.6627457,107.7546231
21.4673942,104.9603617
9.3158429,105.7609095
10.4074344,106.1306792
21.2120047,106.7539707
18.5159215,105.3334271
22.09008,106.5888217
18.5974339,105.5457777
22.5519783,103.1912461
18.3842907,105.7760239
11.9618971,108.4669487
10.5091978,105.971007
21.2127956,105.7434266
21.1412557,106.0945379
21.1377725,105.2137739
10.878721,107.9538837
20.7945124,105.7091586
20.6231662,106.632594
20.9254825,105.9646479
21.5515387,106.2683132
18.9704045,105.5979999
22.0436305,105.2988186
20.2595827,106.0798511
21.2545262,106.1580086
20.7433081,106.7654318
21.2050482,105.2896482
10.6568096,107.7077924
14.6037168,109.0109745
21.5421415,105.1813607
11.5623887,106.6625637
21.4199621,105.3202778
19.5658651,105.1485013
11.0931064,107.0245264
13.3030079,108.1794333
22.2187551,104.753855
10.8711623,106.5807139
10.9609038,106.6740721
21.905105,105.7930291
21.4655987,104.8696786
11.012738,106.7941073
21.9231884,105.2063074
21.6715402,105.1155245
10.708045,106.238984
23.2187319,105.4167795
21.7667026,106.7438078
21.5336232,106.3812362
20.9993736,105.5698639
21.5726235,106.6400506
16.7539871,106.942329
22.8972879,105.2814513
22.0688,104.2801782
22.8905867,105.0813961
10.1177996,105.5183707
21.1208212,105.9768847
10.7564336,106.650671
9.7402359,105.9502732
10.310036,106.5980592
21.6474421,105.688327
11.9207407,109.1119943
10.8461214,106.8616139
11.7801307,106.8027543
20.8106934,106.4669314
15.0612611,107.7175355
21.4091357,105.2868989
21.2480948,106.0893542
21.506487,105.1484674
20.7125989,106.2843931
20.5330159,106.4268324
18.8216062,105.3193842
9.9158945,105.2789314
21.089163,105.7861392
11.1328766,106.17081
21.2154253,104.2636375
14.7764192,107.6974498
21.31637,105.9461907
20.5588257,105.295389
10.4236125,106.2295873
14.1153413,108.6342711
21.3095838,106.5807161
19.9400754,105.8957442
18.204666,106.0842633
10.7991252,106.5819392
21.4570154,106.0386906
10.9907803,106.9809685
21.2624177,105.3099289
20.7417746,105.8894007
21.0564491,106.2018191
21.3593688,105.3139018
10.4052912,106.7497422
21.1526938,105.2329785
21.6313544,106.2060611
21.6220202,105.6343429
21.3728782,106.0544666
21.8401412,105.1879442
10.5641596,105.8383125
13.7603367,109.2052303
20.9866724,105.6292219
10.404953,105.8485068
21.712539,105.8535745
11.8467514,108.597518
11.2558629,106.6739121
9.7453848,104.9896612
21.5095081,106.1910292
10.4307518,106.1296624
15.2051137,108.7846016
10.0515283,105.2955157
10.8240828,106.7042882
14.0786093,107.8997245
10.6438193,106.5048323
11.0438556,108.1299768
22.1503969,104.3771312
21.3885579,106.6749555
21.4023785,104.7980021
11.0476492,107.1744787
21.7014149,105.6016226
12.7041535,108.0827336
11.9938825,107.4600864
19.8211575,105.7617598
19.8524563,105.7304799
21.2061122,105.7902946
11.1495528,106.2393483
21.6279555,105.2395395
21.2380324,105.457643
20.7650526,106.2590079
20.259567,106.1333431
20.6867608,105.7423806
21.9009341,105.1496516
10.8684785,106.6769859
19.5434593,105.0940273
18.4388952,105.7440173
14.4658165,109.0291246
11.8307254,106.6469018
21.2527619,107.1996251
10.9398066,108.0886835
15.2211066,108.6758418
14.3181567,107.9916345
21.3531306,106.6558823
10.5992798,106.327822
12.1052242,109.1049611
18.0862465,106.2507829
18.7868989,105.6577386
21.9174801,105.1409599
