latitude,longitude
10.8173166,106.7862652
20.9914354,105.8722669
10.7298086,106.6783485
20.8298594,106.6920418
20.9628841,106.0208173
11.6905323,106.1424301
21.3897477,104.1627027
18.3237359,105.9609563
11.4980001,107.7472206
10.7053605,107.7321126
22.1396906,104.7068967
10.499559,107.1220546
20.9760083,105.6627625
17.5469131,106.583256
10.3736545,106.1312442
9.2743631,105.6011282
21.3316068,105.4250555
10.8413553,106.6548242
21.0084455,106.4774537
20.5824272,105.9383875
10.4933095,107.2483353
20.808259,106.664873
21.3135525,105.5915621
18.5684233,105.613498
13.9357559,109.1110939
21.5253433,105.0045723
21.1660687,105.3527069
12.7093635,108.0613899
10.4547872,106.2403277
10.7435807,106.6397874
20.4212755,106.3104428
13.7073579,108.0906491
10.8830316,107.3792997
19.7549323,105.8424241
10.8939169,107.2593974
11.0262059,107.3672551
10.404879,106.4036138
20.8824207,105.6672665
18.7531227,105.5027711
10.9458016,108.0822623
21.0746874,106.1189398
10.5558967,107.0653644
21.3898684,105.7481417
20.7969749,105.6761968
19.1473065,105.6264693
21.4476642,106.0351036
10.8144105,106.9559828
21.131187,105.2380183
21.5282838,105.9208564
10.4085554,106.0833033
21.6763478,105.0909689
19.9810312,105.8636877
10.8759435,106.5977172
10.2222316,105.4204611
11.1241389,106.1876202
16.484745,107.5532234
18.5456386,105.6663779
9.2637412,105.7434447
10.768461,106.1150336
16.74677,107.1852301
18.4221848,105.4343507
19.3716087,105.763852
20.2111922,105.9903104
11.078455,108.1427675
20.2915172,106.3757403
22.1192428,106.6238715
11.1361898,106.6650259
21.6530974,105.6087144
21.4016616,106.1023414
20.0775212,105.8751668
20.7421354,106.22117
22.1850275,104.4872177
11.7576352,108.3811703
19.112107,105.632164
13.1194301,109.2463576
21.5655177,104.5660754
10.6677345,105.8946613
21.5273862,105.3334916
13.64917,108.0651653
19.0002619,105.4946776
10.9153692,106.7466997
21.0461903,105.8083649
21.2059684,105.920434
13.5957335,108.0670032
21.0015781,105.5408675
21.4031912,106.6546817
21.3503558,105.9364857
22.1140165,105.1133184
19.2857502,105.0922165
21.0727994,105.8847232
21.0718525,104.0553492
21.420991,105.1740735
14.5586448,109.0591379
15.884987,107.4886139
10.8852645,106.7559934
20.9378485,105.7576321
12.4916317,107.7900745
